admin3Name_en,admin3Name_alias,admin3Pcode,admin2Name_en,admin2Name_alias,admin2Pcode,admin1Name_en,admin1Name_alias,admin1Pcode,admin0Name_en,admin0Name_alias,admin0Pcode
OMBESSA,OMBESSA,CE0309,MBAM ET INOUBOU,MBAM ET INOUBOU,CE03,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
MBANGASSINA,MBANGASSINA,CE0401,MBAM ET KIM,MBAM ET KIM,CE04,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
NGAMBE-TIKAR,NGAMBE-TIKAR,CE0402,MBAM ET KIM,MBAM ET KIM,CE04,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
NGORO,NGORO,CE0403,MBAM ET KIM,MBAM ET KIM,CE04,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
NTUI,NTUI,CE0404,MBAM ET KIM,MBAM ET KIM,CE04,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
NTUI,NTUI,CE0405,MBAM ET KIM,MBAM ET KIM,CE04,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
AFANLOUM,AFANLOUM,CE0501,MEFOU ET AFAMBA,MEFOU ET AFAMBA,CE05,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
OLANGUINA,OLANGUINA,CE0502,MEFOU ET AFAMBA,MEFOU ET AFAMBA,CE05,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
AWAE,AWAE,CE0503,MEFOU ET AFAMBA,MEFOU ET AFAMBA,CE05,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
EZENDOUAN,EZENDOUAN,CE0504,MEFOU ET AFAMBA,MEFOU ET AFAMBA,CE05,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
ESSE,ESSE,CE0505,MEFOU ET AFAMBA,MEFOU ET AFAMBA,CE05,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
MFOU,MFOU,CE0506,MEFOU ET AFAMBA,MEFOU ET AFAMBA,CE05,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
NKOLAFAMBA,NKOLAFAMBA,CE0507,MEFOU ET AFAMBA,MEFOU ET AFAMBA,CE05,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
SOA,SOA,CE0508,MEFOU ET AFAMBA,MEFOU ET AFAMBA,CE05,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
AKONO,AKONO,CE0601,MEFOU ET AKONO,MEFOU ET AKONO,CE06,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
BIKOK,BIKOK,CE0602,MEFOU ET AKONO,MEFOU ET AKONO,CE06,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
MBANKOMO,MBANKOMO,CE0603,MEFOU ET AKONO,MEFOU ET AKONO,CE06,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
NGOUMOU,NGOUMOU,CE0604,MEFOU ET AKONO,MEFOU ET AKONO,CE06,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
YAOUNDE I,YAOUNDE I,CE0701,MFOUNDI,MFOUNDI,CE07,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
YAOUNDE II,YAOUNDE II,CE0702,MFOUNDI,MFOUNDI,CE07,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
YAOUNDE III,YAOUNDE III,CE0703,MFOUNDI,MFOUNDI,CE07,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
YAOUNDE IV,YAOUNDE IV,CE0704,MFOUNDI,MFOUNDI,CE07,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
YAOUNDE V,YAOUNDE V,CE0705,MFOUNDI,MFOUNDI,CE07,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
YAOUNDE VI,YAOUNDE VI,CE0706,MFOUNDI,MFOUNDI,CE07,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
YAOUNDE VII,YAOUNDE VII,CE0707,MFOUNDI,MFOUNDI,CE07,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
BIYOUHA,BIYOUHA,CE0801,NYONG ET KELLE,NYONG ET KELLE,CE08,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
BONDJOCK,BONDJOCK,CE0802,NYONG ET KELLE,NYONG ET KELLE,CE08,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
BOT MAKAK,BOT MAKAK,CE0803,NYONG ET KELLE,NYONG ET KELLE,CE08,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
DIBANG,DIBANG,CE0804,NYONG ET KELLE,NYONG ET KELLE,CE08,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
ESEKA,ESEKA,CE0805,NYONG ET KELLE,NYONG ET KELLE,CE08,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
MAKAK,MAKAK,CE0806,NYONG ET KELLE,NYONG ET KELLE,CE08,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
MATOMB,MATOMB,CE0807,NYONG ET KELLE,NYONG ET KELLE,CE08,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
